libatspi2.0-0t64:amd64	2.52.0-1build1	at-spi2-core	2.52.0-1build1
libatspi2.0-dev:amd64	2.52.0-1build1	at-spi2-core	2.52.0-1build1
libattr1:amd64	1:2.5.2-1build1.1	attr	1:2.5.2-1build1.1
libaudit-common	1:3.1.2-2.1build1.1	audit	1:3.1.2-2.1build1.1
libaudit1:amd64	1:3.1.2-2.1build1.1	audit	1:3.1.2-2.1build1.1
libavahi-client3:amd64	0.8-13ubuntu6.2	avahi	0.8-13ubuntu6.2
libavahi-common-data:amd64	0.8-13ubuntu6.2	avahi	0.8-13ubuntu6.2
libavahi-common3:amd64	0.8-13ubuntu6.2	avahi	0.8-13ubuntu6.2
libavc1394-0:amd64	0.5.4-5build3	libavc1394	0.5.4-5build3
libavcodec60:amd64	7:6.1.1-3ubuntu5	ffmpeg	7:6.1.1-3ubuntu5
libavdevice60:amd64	7:6.1.1-3ubuntu5	ffmpeg	7:6.1.1-3ubuntu5
libavfilter9:amd64	7:6.1.1-3ubuntu5	ffmpeg	7:6.1.1-3ubuntu5
libavformat60:amd64	7:6.1.1-3ubuntu5	ffmpeg	7:6.1.1-3ubuntu5
libavutil58:amd64	7:6.1.1-3ubuntu5	ffmpeg	7:6.1.1-3ubuntu5
libbinutils:amd64	2.42-4ubuntu2.10	binutils	2.42-4ubuntu2.10
libblas3:amd64	3.12.0-3build1.1	lapack	3.12.0-3build1.1
libblkid-dev:amd64	2.39.3-9ubuntu6.6	util-linux	2.39.3-9ubuntu6.6
libblkid1:amd64	2.39.3-9ubuntu6.6	util-linux	2.39.3-9ubuntu6.6
libbluray2:amd64	1:1.3.4-1build1	libbluray	1:1.3.4-1build1
libbrotli-dev:amd64	1.1.0-2build2	brotli	1.1.0-2build2
libbrotli1:amd64	1.1.0-2build2	brotli	1.1.0-2build2
libbs2b0:amd64	3.1.0+dfsg-7build1	libbs2b	3.1.0+dfsg-7build1
libbsd0:amd64	0.12.1-1build1.1	libbsd	0.12.1-1build1.1
libbz2-1.0:amd64	1.0.8-5.1ubuntu0.1	bzip2	1.0.8-5.1ubuntu0.1
libbz2-dev:amd64	1.0.8-5.1ubuntu0.1	bzip2	1.0.8-5.1ubuntu0.1
libc-bin	2.39-0ubuntu8.8	glibc	2.39-0ubuntu8.8
libc-dev-bin	2.39-0ubuntu8.8	glibc	2.39-0ubuntu8.8
libc6:amd64	2.39-0ubuntu8.8	glibc	2.39-0ubuntu8.8
libc6-dev:amd64	2.39-0ubuntu8.8	glibc	2.39-0ubuntu8.8
libcaca0:amd64	0.99.beta20-4ubuntu0.2	libcaca	0.99.beta20-4ubuntu0.2
libcairo-gobject2:amd64	1.18.0-3build1	cairo	1.18.0-3build1
libcairo-script-interpreter2:amd64	1.18.0-3build1	cairo	1.18.0-3build1
libcairo2:amd64	1.18.0-3build1	cairo	1.18.0-3build1
libcairo2-dev:amd64	1.18.0-3build1	cairo	1.18.0-3build1
libcap-ng0:amd64	0.8.4-2build2	libcap-ng	0.8.4-2build2
libcap2:amd64	1:2.66-5ubuntu2.4	libcap2	1:2.66-5ubuntu2.4
libcap2-bin	1:2.66-5ubuntu2.4	libcap2	1:2.66-5ubuntu2.4
libcc1-0:amd64	14.2.0-4ubuntu2~24.04.1	gcc-14	14.2.0-4ubuntu2~24.04.1
libcdio-cdda2t64:amd64	10.2+2.0.1-1.1build2	libcdio-paranoia	10.2+2.0.1-1.1build2
libcdio-paranoia2t64:amd64	10.2+2.0.1-1.1build2	libcdio-paranoia	10.2+2.0.1-1.1build2
libcdio19t64:amd64	2.1.0-4.1ubuntu1.2	libcdio	2.1.0-4.1ubuntu1.2
libcdparanoia0:amd64	3.10.2+debian-14build3	cdparanoia	3.10.2+debian-14build3
libchromaprint1:amd64	1.5.1-5	chromaprint	1.5.1-5
libcjson1:amd64	1.7.17-1	cjson	1.7.17-1
libcodec2-1.2:amd64	1.2.0-2build1	codec2	1.2.0-2build1
libcolord2:amd64	1.4.7-1build2	colord	1.4.7-1build2
libcom-err2:amd64	1.47.0-2.4~exp1ubuntu4.1	e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
libcrypt-dev:amd64	1:4.4.36-4build1	libxcrypt	1:4.4.36-4build1
libcrypt1:amd64	1:4.4.36-4build1	libxcrypt	1:4.4.36-4build1
libctf-nobfd0:amd64	2.42-4ubuntu2.10	binutils	2.42-4ubuntu2.10
libctf0:amd64	2.42-4ubuntu2.10	binutils	2.42-4ubuntu2.10
libcups2t64:amd64	2.4.7-1.2ubuntu7.14	cups	2.4.7-1.2ubuntu7.14
libcurl3t64-gnutls:amd64	8.5.0-2ubuntu10.13	curl	8.5.0-2ubuntu10.13
libcurl4t64:amd64	8.5.0-2ubuntu10.13	curl	8.5.0-2ubuntu10.13
libdatrie-dev:amd64	0.2.13-3build1	libdatrie	0.2.13-3build1
libdatrie1:amd64	0.2.13-3build1	libdatrie	0.2.13-3build1
libdav1d-dev:amd64	1.4.1-1build1	dav1d	1.4.1-1build1
libdav1d7:amd64	1.4.1-1build1	dav1d	1.4.1-1build1
libdb5.3t64:amd64	5.3.28+dfsg2-7	db5.3	5.3.28+dfsg2-7
libdbus-1-3:amd64	1.14.10-4ubuntu4.1	dbus	1.14.10-4ubuntu4.1
libdbus-1-dev:amd64	1.14.10-4ubuntu4.1	dbus	1.14.10-4ubuntu4.1
libdc1394-25:amd64	2.2.6-4build1	libdc1394	2.2.6-4build1
libdconf1:amd64	0.40.0-4ubuntu0.1	dconf	0.40.0-4ubuntu0.1
libde265-0:amd64	1.0.15-1ubuntu0.1	libde265	1.0.15-1ubuntu0.1
libde265-dev:amd64	1.0.15-1ubuntu0.1	libde265	1.0.15-1ubuntu0.1
libdebconfclient0:amd64	0.271ubuntu3	cdebconf	0.271ubuntu3
libdecor-0-0:amd64	0.2.2-1build2	libdecor-0	0.2.2-1build2
libdeflate-dev:amd64	1.19-1build1.1	libdeflate	1.19-1build1.1
libdeflate0:amd64	1.19-1build1.1	libdeflate	1.19-1build1.1
libdpkg-perl	1.22.6ubuntu6.6	dpkg	1.22.6ubuntu6.6
libdrm-amdgpu1:amd64	2.4.125-1ubuntu0.1~24.04.2	libdrm	2.4.125-1ubuntu0.1~24.04.2
libdrm-common	2.4.125-1ubuntu0.1~24.04.2	libdrm	2.4.125-1ubuntu0.1~24.04.2
libdrm-intel1:amd64	2.4.125-1ubuntu0.1~24.04.2	libdrm	2.4.125-1ubuntu0.1~24.04.2
libdrm2:amd64	2.4.125-1ubuntu0.1~24.04.2	libdrm	2.4.125-1ubuntu0.1~24.04.2
libduktape207:amd64	2.7.0+tests-0ubuntu3	duktape	2.7.0+tests-0ubuntu3
libdv4t64:amd64	1.0.0-17.1build1	libdv	1.0.0-17.1build1
libdw1t64:amd64	0.190-1.1ubuntu0.1	elfutils	0.190-1.1ubuntu0.1
libedit2:amd64	3.1-20230828-1build1	libedit	3.1-20230828-1build1
libegl-dev:amd64	1.7.0-1build1	libglvnd	1.7.0-1build1
libegl-mesa0:amd64	25.2.8-0ubuntu0.24.04.2	mesa	25.2.8-0ubuntu0.24.04.2
libegl1:amd64	1.7.0-1build1	libglvnd	1.7.0-1build1
libegl1-mesa-dev:amd64	25.2.8-0ubuntu0.24.04.2	mesa	25.2.8-0ubuntu0.24.04.2
libelf1t64:amd64	0.190-1.1ubuntu0.1	elfutils	0.190-1.1ubuntu0.1
libenchant-2-2:amd64	2.3.3-2build2	enchant-2	2.3.3-2build2
libepoxy-dev:amd64	1.5.10-1build1	libepoxy	1.5.10-1build1
libepoxy0:amd64	1.5.10-1build1	libepoxy	1.5.10-1build1
liberror-perl	0.17029-2	liberror-perl	0.17029-2
libevdev2:amd64	1.13.1+dfsg-1build1	libevdev	1.13.1+dfsg-1build1
libexpat1:amd64	2.6.1-2ubuntu0.4	expat	2.6.1-2ubuntu0.4
libexpat1-dev:amd64	2.6.1-2ubuntu0.4	expat	2.6.1-2ubuntu0.4
libext2fs2t64:amd64	1.47.0-2.4~exp1ubuntu4.1	e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
libffi-dev:amd64	3.4.6-1build1	libffi	3.4.6-1build1
libffi8:amd64	3.4.6-1build1	libffi	3.4.6-1build1
libfftw3-double3:amd64	3.3.10-1ubuntu3	fftw3	3.3.10-1ubuntu3
libflac12t64:amd64	1.4.3+ds-2.1ubuntu2	flac	1.4.3+ds-2.1ubuntu2
libflite1:amd64	2.2-6build3	flite	2.2-6build3
libfontconfig-dev:amd64	2.15.0-1.1ubuntu2	fontconfig	2.15.0-1.1ubuntu2
libfontconfig1:amd64	2.15.0-1.1ubuntu2	fontconfig	2.15.0-1.1ubuntu2
libfontenc1:amd64	1:1.1.8-1build1	libfontenc	1:1.1.8-1build1
libfreetype-dev:amd64	2.13.2+dfsg-1ubuntu0.1	freetype	2.13.2+dfsg-1ubuntu0.1
libfreetype6:amd64	2.13.2+dfsg-1ubuntu0.1	freetype	2.13.2+dfsg-1ubuntu0.1
libfribidi-dev:amd64	1.0.13-3build1	fribidi	1.0.13-3build1
libfribidi0:amd64	1.0.13-3build1	fribidi	1.0.13-3build1
libfuse3-3:amd64	3.14.0-5build1	fuse3	3.14.0-5build1
libgbm1:amd64	25.2.8-0ubuntu0.24.04.2	mesa	25.2.8-0ubuntu0.24.04.2
libgcc-13-dev:amd64	13.3.0-6ubuntu2~24.04.1	gcc-13	13.3.0-6ubuntu2~24.04.1
libgcc-s1:amd64	14.2.0-4ubuntu2~24.04.1	gcc-14	14.2.0-4ubuntu2~24.04.1
libgcrypt20:amd64	1.10.3-2ubuntu0.1	libgcrypt20	1.10.3-2ubuntu0.1
libgdbm-compat4t64:amd64	1.23-5.1build1	gdbm	1.23-5.1build1
libgdbm6t64:amd64	1.23-5.1build1	gdbm	1.23-5.1build1
libgdk-pixbuf-2.0-0:amd64	2.42.10+dfsg-3ubuntu3.3	gdk-pixbuf	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf-2.0-dev:amd64	2.42.10+dfsg-3ubuntu3.3	gdk-pixbuf	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-bin	2.42.10+dfsg-3ubuntu3.3	gdk-pixbuf	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-common	2.42.10+dfsg-3ubuntu3.3	gdk-pixbuf	2.42.10+dfsg-3ubuntu3.3
libgfortran5:amd64	14.2.0-4ubuntu2~24.04.1	gcc-14	14.2.0-4ubuntu2~24.04.1
libgirepository-1.0-1:amd64	1.80.1-1	gobject-introspection	1.80.1-1
libgirepository-1.0-dev:amd64	1.80.1-1	gobject-introspection	1.80.1-1
libgirepository-2.0-0:amd64	2.80.0-6ubuntu3.8	glib2.0	2.80.0-6ubuntu3.8
libgirepository1.0-dev	1.80.1-1	gobject-introspection	1.80.1-1
libgl-dev:amd64	1.7.0-1build1	libglvnd	1.7.0-1build1
libgl1:amd64	1.7.0-1build1	libglvnd	1.7.0-1build1
libgl1-mesa-dri:amd64	25.2.8-0ubuntu0.24.04.2	mesa	25.2.8-0ubuntu0.24.04.2
libgles-dev:amd64	1.7.0-1build1	libglvnd	1.7.0-1build1
libgles1:amd64	1.7.0-1build1	libglvnd	1.7.0-1build1
libgles2:amd64	1.7.0-1build1	libglvnd	1.7.0-1build1
libglib2.0-0t64:amd64	2.80.0-6ubuntu3.8	glib2.0	2.80.0-6ubuntu3.8
libglib2.0-bin	2.80.0-6ubuntu3.8	glib2.0	2.80.0-6ubuntu3.8
libglib2.0-data	2.80.0-6ubuntu3.8	glib2.0	2.80.0-6ubuntu3.8
